"","ASSAULT","BATTERY","HOMICIDE","ROBBERY"
"2003-01-16",74,210,0,48
"2003-01-17",64,222,1,42
"2003-01-18",54,194,2,47
"2003-01-19",57,214,0,31
"2003-01-20",55,179,0,35
"2003-01-21",76,188,0,35
"2003-01-22",77,172,1,42
"2003-01-23",50,156,0,34
"2003-01-24",63,180,1,32
"2003-01-25",49,219,3,47
"2003-01-26",51,190,1,22
"2003-01-27",70,171,0,44
"2003-01-28",69,193,1,37
"2003-01-29",79,167,2,35
"2003-01-30",55,213,1,24
"2003-01-31",68,159,1,53
"2003-02-01",73,227,0,42
"2003-02-02",54,221,1,53
"2003-02-03",83,196,1,44
"2003-02-04",65,196,1,20
"2003-02-05",83,163,0,22
"2003-02-06",83,183,5,44
"2003-02-07",57,199,2,30
"2003-02-08",46,177,0,23
"2003-02-09",51,199,1,34
"2003-02-10",72,202,0,43
"2003-02-11",70,172,1,35
"2003-02-12",53,158,0,25
"2003-02-13",71,215,0,35
"2003-02-14",66,200,1,40
"2003-02-15",54,196,0,27
"2003-02-16",52,216,1,37
"2003-02-17",68,160,3,26
"2003-02-18",77,210,2,24
"2003-02-19",97,228,2,42
"2003-02-20",81,213,1,45
"2003-02-21",94,283,1,35
"2003-02-22",72,213,1,38
"2003-02-23",75,202,1,29
"2003-02-24",59,198,0,46
"2003-02-25",63,181,0,42
"2003-02-26",84,223,4,27
"2003-02-27",99,222,1,36
"2003-02-28",81,234,1,41
"2003-03-01",64,271,3,55
"2003-03-02",47,232,2,37
"2003-03-03",57,169,1,39
"2003-03-04",76,182,1,31
"2003-03-05",60,172,1,23
"2003-03-06",70,200,1,29
"2003-03-07",88,247,3,44
"2003-03-08",68,215,0,43
"2003-03-09",57,196,0,32
"2003-03-10",63,209,2,43
"2003-03-11",87,215,0,51
"2003-03-12",94,224,4,46
"2003-03-13",83,220,0,37
"2003-03-14",87,267,3,39
"2003-03-15",71,284,6,40
"2003-03-16",86,325,0,47
"2003-03-17",89,267,1,48
"2003-03-18",99,234,1,43
"2003-03-19",100,200,4,32
"2003-03-20",85,232,2,47
"2003-03-21",101,297,0,47
"2003-03-22",79,235,2,47
"2003-03-23",62,296,7,46
"2003-03-24",96,278,2,46
"2003-03-25",89,277,1,52
"2003-03-26",111,263,0,40
"2003-03-27",103,286,1,53
"2003-03-28",68,187,1,40
"2003-03-29",61,229,3,54
"2003-03-30",54,238,0,37
"2003-03-31",91,253,0,42
"2003-04-01",113,245,3,46
"2003-04-02",97,302,2,40
"2003-04-03",91,233,1,34
"2003-04-04",81,241,1,43
"2003-04-05",57,234,1,39
"2003-04-06",60,215,2,42
"2003-04-07",58,189,0,44
"2003-04-08",72,205,1,44
"2003-04-09",92,250,1,35
"2003-04-10",100,298,1,33
"2003-04-11",76,225,1,42
"2003-04-12",62,266,3,55
"2003-04-13",83,282,0,53
"2003-04-14",71,261,0,41
"2003-04-15",93,335,1,44
"2003-04-16",83,252,3,46
"2003-04-17",66,195,5,31
"2003-04-18",63,209,1,49
"2003-04-19",66,319,6,58
"2003-04-20",81,271,2,39
"2003-04-21",79,218,2,46
"2003-04-22",85,204,0,48
"2003-04-23",88,235,1,37
"2003-04-24",100,259,7,52
"2003-04-25",80,274,2,48
"2003-04-26",80,302,6,42
"2003-04-27",94,331,1,45
"2003-04-28",103,314,1,42
"2003-04-29",84,245,1,41
"2003-04-30",92,246,1,37
"2003-05-01",63,223,1,50
"2003-05-02",85,292,1,50
"2003-05-03",87,218,0,63
"2003-05-04",75,254,2,48
"2003-05-05",103,271,0,37
"2003-05-06",106,303,1,31
"2003-05-07",103,257,3,43
"2003-05-08",101,261,3,29
"2003-05-09",91,289,0,54
"2003-05-10",102,311,2,45
"2003-05-11",50,243,2,37
